Namespace(att_dim=50, att_head_num=2, att_layer_num=1, batch_size=128, cpnet_vocab_path='./data/ddb/vocab.txt', cuda=True, dataset='medmcqa', debug=False, decoder_lr=0.001, dev_adj='./data/medmcqa/graph/dev.graph.adj.pk', dev_embs='./data/medmcqa/features/dev.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', dev_statements='./data/medmcqa/statement/dev.statement.jsonl', diag_decompose=True, dropoutf=0.2, dropoutg=0.1, dropouti=0.1, encoder='./LM_models/cambridgeltl--SapBERT-from-PubMedBERT-fulltext', encoder_layer=-1, encoder_lr=5e-05, ent_emb=['ddb'], ent_emb_paths=['./data/ddb/ent_emb.npy'], eps=1e-15, eval_batch_size=4, fc_dim=200, fc_layer_num=0, fix_trans=False, format=[], freeze_ent_emb=True, gamma=1.0, gnn_dim=100, gnn_layer_num=4, inhouse=False, inhouse_train_qids='./data/medmcqa/inhouse_split_qids.txt', init_identity=True, init_range=0.02, init_rn=True, log_interval=20, loss='cross_entropy', lr_schedule='fixed', max_epochs_before_stop=10, max_grad_norm=1.0, max_node_num=200, max_seq_len=128, mini_batch_size=2, mode='train', n_epochs=100, num_basis=0, num_relation=30, optim='radam', preds_dir='./preds_res/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', refreeze_epoch=10000, save_dir='./saved_models/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', seed=0, simple=False, subsample=1.0, test_adj='./data/medmcqa/graph/test.graph.adj.pk', test_embs='./data/medmcqa/features/test.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', test_statements='./data/medmcqa/statement/test.statement.jsonl', train_adj='./data/medmcqa/graph/train.graph.adj.pk', train_embs='./data/medmcqa/features/train.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', train_statements='./data/medmcqa/statement/train.statement.jsonl', unfreeze_epoch=0, use_contextualized=False, warmup_steps=50, weight_decay=0.01)
| num_concepts: 9958 |

loading adj matrices:   0%|          | 0/731288 [00:00<?, ?it/s]/mnt/zm/DRLK/utils/data_utils.py:256: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:30.)
  node_type_ids[idx, :num_concept][torch.tensor(
/mnt/zm/DRLK/utils/data_utils.py:258: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:30.)
  node_type_ids[idx, :num_concept][torch.tensor(

loading adj matrices:  22%|██▏       | 159416/731288 [00:28<01:45, 5431.33it/s]
loading adj matrices:  22%|██▏       | 159961/731288 [00:28<01:45, 5435.87it/s]
loading adj matrices:  22%|██▏       | 160505/731288 [00:28<01:45, 5415.24it/s]
loading adj matrices:  22%|██▏       | 161048/731288 [00:28<01:45, 5418.60it/s]
loading adj matrices:  22%|██▏       | 161590/731288 [00:28<01:45, 5415.35it/s]
loading adj matrices:  22%|██▏       | 162133/731288 [00:28<01:45, 5416.56it/s]
loading adj matrices:  22%|██▏       | 162675/731288 [00:28<01:45, 5402.47it/s]
loading adj matrices:  22%|██▏       | 163218/731288 [00:28<01:45, 5409.94it/s]
loading adj matrices:  22%|██▏       | 163760/731288 [00:29<01:44, 5411.38it/s]
loading adj matrices:  22%|██▏       | 164302/731288 [00:29<01:44, 5407.18it/s]
loading adj matrices:  23%|██▎       | 164843/731288 [00:29<01:45, 5391.37it/s]
loading adj matrices:  23%|██▎       | 165386/731288 [00:29<01:44, 5401.78it/s]
loading adj matrices:  23%|██▎       | 165927/731288 [00:29<01:44, 5403.56it/s]
loading adj matrices:  23%|██▎       | 166479/731288 [00:29<01:43, 5435.50it/s]
loading adj matrices:  23%|██▎       | 167023/731288 [00:29<01:44, 5413.57it/s]
loading adj matrices:  23%|██▎       | 167566/731288 [00:29<01:44, 5416.10it/s]
loading adj matrices:  23%|██▎       | 168108/731288 [00:29<01:44, 5408.43it/s]
loading adj matrices:  23%|██▎       | 168651/731288 [00:29<01:43, 5412.40it/s]
loading adj matrices:  23%|██▎       | 169193/731288 [00:30<01:44, 5394.84it/s]
loading adj matrices:  23%|██▎       | 169738/731288 [00:30<01:43, 5408.88it/s]
loading adj matrices:  23%|██▎       | 170280/731288 [00:30<01:43, 5410.75it/s]
loading adj matrices:  23%|██▎       | 170822/731288 [00:30<01:43, 5399.11it/s]
loading adj matrices:  23%|██▎       | 171365/731288 [00:30<01:43, 5405.93it/s]
loading adj matrices:  24%|██▎       | 171906/731288 [00:30<01:43, 5406.15it/s]
loading adj matrices:  24%|██▎       | 172447/731288 [00:30<01:43, 5406.75it/s]
loading adj matrices:  24%|██▎       | 172989/731288 [00:30<01:43, 5408.90it/s]
loading adj matrices:  24%|██▎       | 173530/731288 [00:30<01:43, 5404.57it/s]
loading adj matrices:  24%|██▍       | 174071/731288 [00:30<01:43, 5390.64it/s]
loading adj matrices:  24%|██▍       | 174612/731288 [00:31<01:43, 5394.06it/s]
loading adj matrices:  24%|██▍       | 175152/731288 [00:31<01:43, 5391.89it/s]
loading adj matrices:  24%|██▍       | 175696/731288 [00:31<01:42, 5404.00it/s]
loading adj matrices:  24%|██▍       | 176242/731288 [00:31<01:42, 5419.40it/s]
loading adj matrices:  24%|██▍       | 176784/731288 [00:31<01:42, 5416.66it/s]
loading adj matrices:  24%|██▍       | 177326/731288 [00:31<01:42, 5388.91it/s]
loading adj matrices:  24%|██▍       | 177868/731288 [00:31<01:42, 5397.80it/s]
loading adj matrices:  24%|██▍       | 178414/731288 [00:31<01:42, 5414.73it/s]
loading adj matrices:  24%|██▍       | 178958/731288 [00:31<01:41, 5419.57it/s]
loading adj matrices:  25%|██▍       | 179500/731288 [00:31<01:42, 5392.48it/s]
loading adj matrices:  25%|██▍       | 180040/731288 [00:32<01:42, 5391.36it/s]
loading adj matrices:  25%|██▍       | 180580/731288 [00:32<01:42, 5391.89it/s]
loading adj matrices:  25%|██▍       | 181123/731288 [00:32<01:41, 5400.98it/s]
loading adj matrices:  25%|██▍       | 181664/731288 [00:32<01:42, 5374.67it/s]
loading adj matrices:  25%|██▍       | 182202/731288 [00:32<01:42, 5374.98it/s]
loading adj matrices:  25%|██▍       | 182745/731288 [00:32<01:41, 5388.49it/s]
loading adj matrices:  25%|██▌       | 183288/731288 [00:32<01:41, 5399.71it/s]
loading adj matrices:  25%|██▌       | 183828/731288 [00:32<01:41, 5393.32it/s]
loading adj matrices:  25%|██▌       | 184372/731288 [00:32<01:41, 5404.47it/s]
loading adj matrices:  25%|██▌       | 184914/731288 [00:32<01:41, 5407.60it/s]
loading adj matrices:  25%|██▌       | 185455/731288 [00:33<01:41, 5404.01it/s]
loading adj matrices:  25%|██▌       | 185996/731288 [00:34<07:37, 1190.71it/s]
loading adj matrices:  26%|██▌       | 186534/731288 [00:34<05:51, 1551.28it/s]
loading adj matrices:  26%|██▌       | 187080/731288 [00:34<04:34, 1979.32it/s]
loading adj matrices:  26%|██▌       | 187620/731288 [00:34<03:42, 2442.01it/s]
loading adj matrices:  26%|██▌       | 188153/731288 [00:34<03:06, 2908.94it/s]
loading adj matrices:  26%|██▌       | 188698/731288 [00:34<02:40, 3385.86it/s]
loading adj matrices:  26%|██▌       | 189240/731288 [00:34<02:22, 3815.12it/s]
loading adj matrices:  26%|██▌       | 189782/731288 [00:35<02:09, 4187.07it/s]
loading adj matrices:  26%|██▌       | 190317/731288 [00:35<02:00, 4475.75it/s]
loading adj matrices:  26%|██▌       | 190859/731288 [00:35<01:54, 4722.42it/s]
loading adj matrices:  26%|██▌       | 191395/731288 [00:35<01:50, 4894.62it/s]
loading adj matrices:  26%|██▌       | 191930/731288 [00:35<01:47, 5019.66it/s]
loading adj matrices:  26%|██▋       | 192468/731288 [00:35<01:45, 5120.06it/s]
loading adj matrices:  26%|██▋       | 193008/731288 [00:35<01:43, 5200.30it/s]
loading adj matrices:  26%|██▋       | 193549/731288 [00:35<01:42, 5261.12it/s]
loading adj matrices:  27%|██▋       | 194087/731288 [00:35<01:41, 5288.57it/s]
loading adj matrices:  27%|██▋       | 194626/731288 [00:35<01:40, 5316.59it/s]
loading adj matrices:  27%|██▋       | 195168/731288 [00:36<01:40, 5347.24it/s]
loading adj matrices:  27%|██▋       | 195707/731288 [00:36<01:40, 5353.55it/s]
loading adj matrices:  27%|██▋       | 196246/731288 [00:36<01:39, 5353.97it/s]
loading adj matrices:  27%|██▋       | 196785/731288 [00:36<01:39, 5363.16it/s]
loading adj matrices:  27%|██▋       | 197324/731288 [00:36<01:39, 5369.21it/s]
loading adj matrices:  27%|██▋       | 197862/731288 [00:36<01:39, 5360.63it/s]
loading adj matrices:  27%|██▋       | 198399/731288 [00:36<01:39, 5357.14it/s]
loading adj matrices:  27%|██▋       | 198942/731288 [00:36<01:39, 5377.09it/s]
loading adj matrices:  27%|██▋       | 199482/731288 [00:36<01:38, 5382.45it/s]
loading adj matrices:  27%|██▋       | 200022/731288 [00:36<01:38, 5387.07it/s]
loading adj matrices:  27%|██▋       | 200561/731288 [00:37<01:39, 5360.51it/s]
loading adj matrices:  27%|██▋       | 201104/731288 [00:37<01:38, 5378.22it/s]
loading adj matrices:  28%|██▊       | 201643/731288 [00:37<01:38, 5380.08it/s]
loading adj matrices:  28%|██▊       | 202183/731288 [00:37<01:38, 5384.64it/s]
loading adj matrices:  28%|██▊       | 202722/731288 [00:37<01:38, 5362.48it/s]
loading adj matrices:  28%|██▊       | 203264/731288 [00:37<01:38, 5377.35it/s]
loading adj matrices:  28%|██▊       | 203803/731288 [00:37<01:38, 5378.25it/s]
loading adj matrices:  28%|██▊       | 204341/731288 [00:37<01:38, 5375.95it/s]
loading adj matrices:  28%|██▊       | 204880/731288 [00:37<01:37, 5378.01it/s]
loading adj matrices:  28%|██▊       | 205418/731288 [00:37<01:37, 5375.56it/s]
loading adj matrices:  28%|██▊       | 205956/731288 [00:38<01:37, 5371.72it/s]
loading adj matrices:  28%|██▊       | 206495/731288 [00:38<01:37, 5377.09it/s]
loading adj matrices:  28%|██▊       | 207033/731288 [00:38<01:37, 5356.35it/s]
loading adj matrices:  28%|██▊       | 207570/731288 [00:38<01:37, 5357.80it/s]
loading adj matrices:  28%|██▊       | 208110/731288 [00:38<01:37, 5368.98it/s]
loading adj matrices:  29%|██▊       | 208647/731288 [00:38<01:37, 5359.24it/s]
loading adj matrices:  29%|██▊       | 209183/731288 [00:38<01:37, 5339.77it/s]
loading adj matrices:  29%|██▊       | 209719/731288 [00:38<01:37, 5344.89it/s]
loading adj matrices:  29%|██▉       | 210272/731288 [00:38<01:36, 5397.71it/s]
loading adj matrices:  29%|██▉       | 210812/731288 [00:38<01:36, 5380.48it/s]
loading adj matrices:  29%|██▉       | 211351/731288 [00:39<01:36, 5376.61it/s]
loading adj matrices:  29%|██▉       | 211893/731288 [00:39<01:36, 5387.41it/s]
loading adj matrices:  29%|██▉       | 212432/731288 [00:39<01:36, 5379.91it/s]
loading adj matrices:  29%|██▉       | 212971/731288 [00:39<01:36, 5364.48it/s]
loading adj matrices:  29%|██▉       | 213509/731288 [00:39<01:36, 5367.46it/s]
loading adj matrices:  29%|██▉       | 214048/731288 [00:39<01:36, 5371.17it/s]
loading adj matrices:  29%|██▉       | 214590/731288 [00:39<01:35, 5382.86it/s]
loading adj matrices:  29%|██▉       | 215129/731288 [00:39<01:36, 5370.87it/s]
loading adj matrices:  29%|██▉       | 215667/731288 [00:39<01:36, 5358.60it/s]
loading adj matrices:  30%|██▉       | 216205/731288 [00:39<01:36, 5363.90it/s]
loading adj matrices:  30%|██▉       | 216742/731288 [00:40<01:36, 5351.14it/s]
loading adj matrices:  30%|██▉       | 217278/731288 [00:40<01:36, 5330.24it/s]
loading adj matrices:  30%|██▉       | 217814/731288 [00:40<01:36, 5338.56it/s]
loading adj matrices:  30%|██▉       | 218350/731288 [00:40<01:35, 5343.37it/s]
loading adj matrices:  30%|██▉       | 218888/731288 [00:40<01:35, 5352.52it/s]
loading adj matrices:  30%|███       | 219424/731288 [00:40<01:35, 5347.97it/s]
loading adj matrices:  30%|███       | 219961/731288 [00:40<01:35, 5352.83it/s]
loading adj matrices:  30%|███       | 220502/731288 [00:40<01:35, 5367.53it/s]
loading adj matrices:  30%|███       | 221045/731288 [00:40<01:34, 5385.21it/s]
loading adj matrices:  30%|███       | 221584/731288 [00:40<01:35, 5359.47it/s]
loading adj matrices:  30%|███       | 222120/731288 [00:41<01:35, 5356.65it/s]
loading adj matrices:  30%|███       | 222666/731288 [00:41<01:34, 5385.67it/s]
loading adj matrices:  31%|███       | 223233/731288 [00:41<01:32, 5469.64it/s]
loading adj matrices:  31%|███       | 223806/731288 [00:41<01:31, 5547.43it/s]
loading adj matrices:  31%|███       | 224375/731288 [00:41<01:30, 5588.20it/s]
loading adj matrices:  31%|███       | 224956/731288 [00:41<01:29, 5652.83it/s]
loading adj matrices:  31%|███       | 225522/731288 [00:41<01:29, 5651.87it/s]
loading adj matrices:  31%|███       | 226096/731288 [00:41<01:28, 5677.46it/s]
loading adj matrices:  31%|███       | 226666/731288 [00:41<01:28, 5681.85it/s]
loading adj matrices:  31%|███       | 227236/731288 [00:41<01:28, 5684.38it/s]
loading adj matrices:  31%|███       | 227805/731288 [00:42<01:28, 5669.55it/s]
loading adj matrices:  31%|███       | 228377/731288 [00:42<01:28, 5681.24it/s]
loading adj matrices:  31%|███▏      | 228956/731288 [00:42<01:27, 5712.26it/s]
loading adj matrices:  31%|███▏      | 229537/731288 [00:42<01:27, 5738.88it/s]
loading adj matrices:  31%|███▏      | 230111/731288 [00:42<01:28, 5686.96it/s]
loading adj matrices:  32%|███▏      | 230685/731288 [00:42<01:27, 5700.49it/s]
loading adj matrices:  32%|███▏      | 231256/731288 [00:42<01:27, 5689.38it/s]
loading adj matrices:  32%|███▏      | 231825/731288 [00:42<01:27, 5685.16it/s]
loading adj matrices:  32%|███▏      | 232399/731288 [00:42<01:27, 5699.26it/s]
loading adj matrices:  32%|███▏      | 232973/731288 [00:42<01:27, 5711.17it/s]
loading adj matrices:  32%|███▏      | 233554/731288 [00:43<01:26, 5739.05it/s]
loading adj matrices:  32%|███▏      | 234128/731288 [00:43<01:26, 5715.16it/s]
loading adj matrices:  32%|███▏      | 234700/731288 [00:43<01:27, 5698.57it/s]
loading adj matrices:  32%|███▏      | 235270/731288 [00:43<01:27, 5670.34it/s]
loading adj matrices:  32%|███▏      | 235838/731288 [00:43<01:29, 5523.89it/s]
loading adj matrices:  32%|███▏      | 236392/731288 [00:43<01:30, 5456.32it/s]
loading adj matrices:  32%|███▏      | 236948/731288 [00:43<01:30, 5486.55it/s]
loading adj matrices:  32%|███▏      | 237518/731288 [00:43<01:28, 5548.58it/s]
loading adj matrices:  33%|███▎      | 238074/731288 [00:43<01:29, 5539.47it/s]
loading adj matrices:  33%|███▎      | 238634/731288 [00:43<01:28, 5555.77it/s]
loading adj matrices:  33%|███▎      | 239197/731288 [00:44<01:28, 5577.31it/s]
loading adj matrices:  33%|███▎      | 239761/731288 [00:44<01:27, 5593.83it/s]
loading adj matrices:  33%|███▎      | 240321/731288 [00:44<01:27, 5579.92it/s]
loading adj matrices:  33%|███▎      | 240881/731288 [00:44<01:27, 5584.69it/s]
loading adj matrices:  33%|███▎      | 241448/731288 [00:44<01:27, 5607.79it/s]
loading adj matrices:  33%|███▎      | 242009/731288 [00:44<01:27, 5605.00it/s]
loading adj matrices:  33%|███▎      | 242570/731288 [00:44<01:27, 5596.95it/s]
loading adj matrices:  33%|███▎      | 243130/731288 [00:44<01:27, 5586.77it/s]
loading adj matrices:  33%|███▎      | 243693/731288 [00:44<01:27, 5599.12it/s]
loading adj matrices:  33%|███▎      | 244256/731288 [00:45<01:26, 5606.38it/s]
loading adj matrices:  33%|███▎      | 244817/731288 [00:45<01:27, 5561.04it/s]
loading adj matrices:  34%|███▎      | 245374/731288 [00:45<01:27, 5561.20it/s]
loading adj matrices:  34%|███▎      | 245937/731288 [00:45<01:27, 5578.43it/s]
loading adj matrices:  34%|███▎      | 246495/731288 [00:45<01:26, 5572.42it/s]
loading adj matrices:  34%|███▍      | 247071/731288 [00:45<01:26, 5625.74it/s]
loading adj matrices:  34%|███▍      | 247634/731288 [00:45<01:26, 5610.37it/s]
loading adj matrices:  34%|███▍      | 248196/731288 [00:45<01:26, 5601.48it/s]
loading adj matrices:  34%|███▍      | 248757/731288 [00:45<01:26, 5578.21it/s]
loading adj matrices:  34%|███▍      | 249324/731288 [00:45<01:25, 5605.17it/s]
loading adj matrices:  34%|███▍      | 249889/731288 [00:46<01:25, 5616.11it/s]
loading adj matrices:  34%|███▍      | 250461/731288 [00:46<01:25, 5646.55it/s]
loading adj matrices:  34%|███▍      | 251027/731288 [00:46<01:25, 5648.76it/s]
loading adj matrices:  34%|███▍      | 251596/731288 [00:46<01:24, 5659.28it/s]
loading adj matrices:  34%|███▍      | 252162/731288 [00:46<01:24, 5638.96it/s]
loading adj matrices:  35%|███▍      | 252735/731288 [00:46<01:24, 5665.21it/s]
loading adj matrices:  35%|███▍      | 253302/731288 [00:46<01:24, 5645.81it/s]
loading adj matrices:  35%|███▍      | 253867/731288 [00:46<01:24, 5637.85it/s]
loading adj matrices:  35%|███▍      | 254441/731288 [00:46<01:24, 5666.98it/s]
loading adj matrices:  35%|███▍      | 255008/731288 [00:46<01:24, 5659.27it/s]
loading adj matrices:  35%|███▍      | 255574/731288 [00:47<01:24, 5652.21it/s]
loading adj matrices:  35%|███▌      | 256140/731288 [00:47<01:24, 5642.62it/s]
loading adj matrices:  35%|███▌      | 256710/731288 [00:47<01:23, 5659.08it/s]
loading adj matrices:  35%|███▌      | 257276/731288 [00:47<01:23, 5655.38it/s]
loading adj matrices:  35%|███▌      | 257849/731288 [00:47<01:23, 5676.49it/s]
loading adj matrices:  35%|███▌      | 258417/731288 [00:47<01:23, 5667.50it/s]
loading adj matrices:  35%|███▌      | 258984/731288 [00:47<01:23, 5654.49it/s]
loading adj matrices:  35%|███▌      | 259550/731288 [00:47<01:23, 5640.74it/s]
loading adj matrices:  36%|███▌      | 260126/731288 [00:47<01:23, 5676.13it/s]
loading adj matrices:  36%|███▌      | 260694/731288 [00:47<01:22, 5671.17it/s]
loading adj matrices:  36%|███▌      | 261262/731288 [00:48<01:23, 5654.09it/s]
loading adj matrices:  36%|███▌      | 261835/731288 [00:48<01:22, 5675.86it/s]
loading adj matrices:  36%|███▌      | 262407/731288 [00:48<01:22, 5686.28it/s]
loading adj matrices:  36%|███▌      | 262979/731288 [00:48<01:22, 5694.60it/s]
loading adj matrices:  36%|███▌      | 263549/731288 [00:48<01:22, 5670.98it/s]
loading adj matrices:  36%|███▌      | 264118/731288 [00:48<01:22, 5675.04it/s]
loading adj matrices:  36%|███▌      | 264690/731288 [00:48<01:22, 5687.40it/s]
loading adj matrices:  36%|███▋      | 265263/731288 [00:48<01:21, 5698.93it/s]
loading adj matrices:  36%|███▋      | 265833/731288 [00:48<01:21, 5682.14it/s]
loading adj matrices:  36%|███▋      | 266405/731288 [00:48<01:21, 5692.07it/s]
loading adj matrices:  37%|███▋      | 266975/731288 [00:49<01:21, 5691.38it/s]
loading adj matrices:  37%|███▋      | 267545/731288 [00:49<01:21, 5663.20it/s]
loading adj matrices:  37%|███▋      | 268114/731288 [00:49<01:21, 5669.36it/s]
loading adj matrices:  37%|███▋      | 268688/731288 [00:49<01:21, 5688.95it/s]
loading adj matrices:  37%|███▋      | 269266/731288 [00:49<01:20, 5715.99it/s]
loading adj matrices:  37%|███▋      | 269838/731288 [00:49<01:21, 5691.32it/s]
loading adj matrices:  37%|███▋      | 270408/731288 [00:49<01:21, 5688.37it/s]
loading adj matrices:  37%|███▋      | 270983/731288 [00:49<01:20, 5706.23it/s]
loading adj matrices:  37%|███▋      | 271554/731288 [00:49<01:20, 5690.88it/s]
loading adj matrices:  37%|███▋      | 272124/731288 [00:49<01:20, 5674.09it/s]
loading adj matrices:  37%|███▋      | 272700/731288 [00:50<01:20, 5696.26it/s]
loading adj matrices:  37%|███▋      | 273270/731288 [00:50<01:20, 5687.71it/s]
loading adj matrices:  37%|███▋      | 273839/731288 [00:50<01:20, 5653.47it/s]
loading adj matrices:  38%|███▊      | 274405/731288 [00:50<01:20, 5646.34it/s]
loading adj matrices:  38%|███▊      | 274975/731288 [00:50<01:20, 5659.85it/s]
loading adj matrices:  38%|███▊      | 275548/731288 [00:50<01:20, 5678.07it/s]
loading adj matrices:  38%|███▊      | 276116/731288 [00:50<01:20, 5667.37it/s]
loading adj matrices:  38%|███▊      | 276688/731288 [00:50<01:20, 5680.51it/s]
loading adj matrices:  38%|███▊      | 277266/731288 [00:50<01:19, 5708.95it/s]
loading adj matrices:  38%|███▊      | 277837/731288 [00:50<01:19, 5701.39it/s]
loading adj matrices:  38%|███▊      | 278408/731288 [00:51<01:19, 5694.71it/s]
loading adj matrices:  38%|███▊      | 278978/731288 [00:51<01:19, 5690.35it/s]
loading adj matrices:  38%|███▊      | 279549/731288 [00:51<01:19, 5692.78it/s]
loading adj matrices:  38%|███▊      | 280125/731288 [00:51<01:19, 5710.64it/s]
loading adj matrices:  38%|███▊      | 280698/731288 [00:51<01:18, 5714.38it/s]
loading adj matrices:  38%|███▊      | 281271/731288 [00:51<01:18, 5717.15it/s]
loading adj matrices:  39%|███▊      | 281843/731288 [00:51<01:18, 5704.85it/s]
loading adj matrices:  39%|███▊      | 282414/731288 [00:51<01:19, 5676.46it/s]
loading adj matrices:  39%|███▊      | 282988/731288 [00:51<01:18, 5694.69it/s]
loading adj matrices:  39%|███▉      | 283558/731288 [00:51<01:19, 5657.99it/s]
loading adj matrices:  39%|███▉      | 284124/731288 [00:52<01:19, 5642.48it/s]
loading adj matrices:  39%|███▉      | 284689/731288 [00:52<01:19, 5633.69it/s]
loading adj matrices:  39%|███▉      | 285258/731288 [00:52<01:18, 5648.60it/s]
loading adj matrices:  39%|███▉      | 285829/731288 [00:52<01:18, 5664.97it/s]
loading adj matrices:  39%|███▉      | 286396/731288 [00:52<01:18, 5649.82it/s]
loading adj matrices:  39%|███▉      | 286964/731288 [00:52<01:18, 5658.29it/s]
loading adj matrices:  39%|███▉      | 287542/731288 [00:52<01:17, 5693.62it/s]
loading adj matrices:  39%|███▉      | 288113/731288 [00:52<01:17, 5698.12it/s]
loading adj matrices:  39%|███▉      | 288683/731288 [00:52<01:18, 5660.71it/s]
loading adj matrices:  40%|███▉      | 289261/731288 [00:52<01:17, 5694.37it/s]
loading adj matrices:  40%|███▉      | 289836/731288 [00:53<01:17, 5709.71it/s]
loading adj matrices:  40%|███▉      | 290408/731288 [00:53<01:17, 5709.40it/s]
loading adj matrices:  40%|███▉      | 290979/731288 [00:53<01:17, 5687.93it/s]
loading adj matrices:  40%|███▉      | 291551/731288 [00:53<01:17, 5696.41it/s]
loading adj matrices:  40%|███▉      | 292123/731288 [00:53<01:17, 5701.90it/s]
loading adj matrices:  40%|████      | 292694/731288 [00:53<01:17, 5691.70it/s]
loading adj matrices:  40%|████      | 293272/731288 [00:53<01:16, 5716.62it/s]
loading adj matrices:  40%|████      | 293844/731288 [00:53<01:16, 5704.43it/s]
loading adj matrices:  40%|████      | 294415/731288 [00:53<01:16, 5702.57it/s]
loading adj matrices:  40%|████      | 294986/731288 [00:53<01:17, 5650.66it/s]
loading adj matrices:  40%|████      | 295559/731288 [00:54<01:16, 5671.86it/s]
loading adj matrices:  40%|████      | 296127/731288 [00:54<01:16, 5672.36it/s]
loading adj matrices:  41%|████      | 296697/731288 [00:54<01:16, 5679.50it/s]
loading adj matrices:  41%|████      | 297269/731288 [00:54<01:16, 5689.88it/s]
loading adj matrices:  41%|████      | 297839/731288 [00:54<01:16, 5681.84it/s]
loading adj matrices:  41%|████      | 298408/731288 [00:54<01:16, 5681.56it/s]
loading adj matrices:  41%|████      | 298977/731288 [00:54<01:16, 5665.49it/s]
loading adj matrices:  41%|████      | 299544/731288 [00:54<01:16, 5659.56it/s]
loading adj matrices:  41%|████      | 300110/731288 [00:54<01:16, 5636.89it/s]
loading adj matrices:  41%|████      | 300674/731288 [00:54<01:16, 5618.36it/s]
loading adj matrices:  41%|████      | 301238/731288 [00:55<01:16, 5623.80it/s]
